"DSQIVB12.Code.or.Value","DSQIVB12.Value.Description","DSQIVB12.Count","DSQIVB12.Cumulative","DSQIVB12.Skip.to.Item"
"0.53 to 6000","Range of Values",2875,2875,NA
".","Missing",5394,8269,NA
