"DR1TP205.Code.or.Value","DR1TP205.Value.Description","DR1TP205.Count","DR1TP205.Cumulative","DR1TP205.Skip.to.Item"
"0 to 2.589","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
