"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.2 to 7.4","Range of Values",8945,8945,NA
".","Missing",984,9929,NA
