"MCQ170L.Code.or.Value","MCQ170L.Value.Description","MCQ170L.Count","MCQ170L.Cumulative","MCQ170L.Skip.to.Item"
"1","Yes",60,60,"MCQ180L"
"2","No",80,140,"MCQ180L"
"7","Refused",0,140,"MCQ180L"
"9","Don't know",13,153,"MCQ180L"
".","Missing",9340,9493,""
