"OSQ060.Code.or.Value","OSQ060.Value.Description","OSQ060.Count","OSQ060.Cumulative","OSQ060.Skip.to.Item"
"1","Yes",179,179,NA
"2","No",4687,4866,NA
"7","Refused",3,4869,NA
"9","Don't know",11,4880,NA
".","Missing",0,4880,NA
