"ORXH67.Code.or.Value","ORXH67.Value.Description","ORXH67.Count","ORXH67.Cumulative","ORXH67.Skip.to.Item"
"1","Positive",2,2,NA
"2","Negative",4544,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
