"LBCTNA.Code.or.Value","LBCTNA.Value.Description","LBCTNA.Count","LBCTNA.Cumulative","LBCTNA.Skip.to.Item"
"3.536 to 770.4","Range of Values",251,251,NA
".","Missing",0,251,NA
