"DR2IFDCD.Code.or.Value","DR2IFDCD.Value.Description","DR2IFDCD.Count","DR2IFDCD.Cumulative","DR2IFDCD.Skip.to.Item"
"11000000 to 95342000","Range of Values",112101,112101,NA
".","Missing",0,112101,NA
