"URDOPMLC.Code.or.Value","URDOPMLC.Value.Description","URDOPMLC.Count","URDOPMLC.Cumulative","URDOPMLC.Skip.to.Item"
"0","detectable result",2359,2359,NA
"1","below detectable limit",689,3048,NA
".","Missing",104,3152,NA
