"BAQ090.Code.or.Value","BAQ090.Value.Description","BAQ090.Count","BAQ090.Cumulative","BAQ090.Skip.to.Item"
"1","Get better,",319,319,NA
"2","Get worse, or",12,331,NA
"3","Stay the same?",83,414,NA
"7","Refused",0,414,NA
"9","Don't know",1,415,NA
".","Missing",2770,3185,NA
