"DR2TMFAT.Code.or.Value","DR2TMFAT.Value.Description","DR2TMFAT.Count","DR2TMFAT.Cumulative","DR2TMFAT.Skip.to.Item"
"0 to 154.194","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
