"OSD110b.Code.or.Value","OSD110b.Value.Description","OSD110b.Count","OSD110b.Cumulative","OSD110b.Skip.to.Item"
"20 to 79","Range of Values",60,60,NA
"80","80 or older",1,61,NA
"777","Refused",0,61,NA
"999","Don't know",1,62,NA
".","Missing",6156,6218,NA
