"MCQ140.Code.or.Value","MCQ140.Value.Description","MCQ140.Count","MCQ140.Cumulative","MCQ140.Skip.to.Item"
"1","Yes",1357,1357,NA
"2","No",8422,9779,NA
"7","Refused",1,9780,NA
"9","Don't know",6,9786,NA
".","Missing",323,10109,NA
