"LBXODTLA.Code.or.Value","LBXODTLA.Value.Description","LBXODTLA.Count","LBXODTLA.Cumulative","LBXODTLA.Skip.to.Item"
"2.2 to 141","Range of Values",1669,1669,NA
".","Missing",605,2274,NA
