"LBCBR1.Code.or.Value","LBCBR1.Value.Description","LBCBR1.Count","LBCBR1.Cumulative","LBCBR1.Skip.to.Item"
"1.273 to 5.575","Range of Values",249,249,NA
".","Missing",2,251,NA
