"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 79.149","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
