"DR1IS180.Code.or.Value","DR1IS180.Value.Description","DR1IS180.Count","DR1IS180.Cumulative","DR1IS180.Skip.to.Item"
"0 to 22.088","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
