"GTDBL2MN.Code.or.Value","GTDBL2MN.Value.Description","GTDBL2MN.Count","GTDBL2MN.Cumulative","GTDBL2MN.Skip.to.Item"
"103 to 162","Range of Values",2249,2249,NA
".","Missing",1066,3315,NA
