"LBXF02LA.Code.or.Value","LBXF02LA.Value.Description","LBXF02LA.Count","LBXF02LA.Cumulative","LBXF02LA.Skip.to.Item"
"0.3 to 4.9","Range of Values",1235,1235,NA
".","Missing",1312,2547,NA
