"MCQ260GA.Code.or.Value","MCQ260GA.Value.Description","MCQ260GA.Count","MCQ260GA.Cumulative","MCQ260GA.Skip.to.Item"
"1","Mother",102,102,NA
"77","Refused",0,102,NA
"99","Don't know",1,103,NA
".","Missing",9390,9493,NA
