"LBDVDMLC.Code.or.Value","LBDVDMLC.Value.Description","LBDVDMLC.Count","LBDVDMLC.Cumulative","LBDVDMLC.Skip.to.Item"
"0","detectable result",3,3,NA
"1","below detectable limit",1352,1355,NA
"2","detectable result and exceeds the calibrated range of assay",0,1355,NA
".","Missing",134,1489,NA
