"BIDTD.Code.or.Value","BIDTD.Value.Description","BIDTD.Count","BIDTD.Cumulative","BIDTD.Skip.to.Item"
"-87.188 to 99.545","Range of Values",4136,4136,NA
".","Missing",1175,5311,NA
