"MCQ220.Code.or.Value","MCQ220.Value.Description","MCQ220.Count","MCQ220.Cumulative","MCQ220.Skip.to.Item"
"1","Yes",478,478,""
"2","No",4551,5029,"MCQ245A"
"7","Refused",0,5029,"MCQ245A"
"9","Don't know",11,5040,"MCQ245A"
".","Missing",4605,9645,""
