"PFQ061M.Code.or.Value","PFQ061M.Value.Description","PFQ061M.Count","PFQ061M.Cumulative","PFQ061M.Skip.to.Item"
"1","No difficulty",1233,1233,NA
"2","Some difficulty",707,1940,NA
"3","Much difficulty",343,2283,NA
"4","Unable to do",305,2588,NA
"5","Do not do this activity",62,2650,NA
"7","Refused",0,2650,NA
"9","Don't know",1,2651,NA
".","Missing",6340,8991,NA
