"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0 to 37.188","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
