"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",2218,2218,NA
"1","Below lower detection limit",951,3169,NA
".","Missing",148,3317,NA
