"MCQ240F.Code.or.Value","MCQ240F.Value.Description","MCQ240F.Count","MCQ240F.Cumulative","MCQ240F.Skip.to.Item"
"16 to 72","Range of Values",43,43,NA
"85","85 years or older",0,43,NA
"77777","Refused",0,43,NA
"99999","Don't know",0,43,NA
".","Missing",9779,9822,NA
