"SPQ080.Code.or.Value","SPQ080.Value.Description","SPQ080.Count","SPQ080.Cumulative","SPQ080.Skip.to.Item"
"1","Yes",6,6,"SPAENA"
"2","No",114,120,""
"7","Refused",0,120,"SPAENA"
"9","Don't know",0,120,"SPAENA"
".","Missing",7623,7743,""
