"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0 to 980.92","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
