"LEXLABPI.Code.or.Value","LEXLABPI.Value.Description","LEXLABPI.Count","LEXLABPI.Cumulative","LEXLABPI.Skip.to.Item"
"0.39 to 1.84","Range of Values",2237,2237,NA
".","Missing",638,2875,NA
