"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",1731,1731,NA
"2","No",6218,7949,NA
"7","Refused",3,7952,NA
"9","Don't know",12,7964,NA
".","Missing",2185,10149,NA
