"URDUBALC.Code.or.Value","URDUBALC.Value.Description","URDUBALC.Count","URDUBALC.Cumulative","URDUBALC.Skip.to.Item"
"0","At or above the detection limit",2519,2519,NA
"1","Below lower detection limit",9,2528,NA
".","Missing",77,2605,NA
