"MGXH2T3E.Code.or.Value","MGXH2T3E.Value.Description","MGXH2T3E.Count","MGXH2T3E.Cumulative","MGXH2T3E.Skip.to.Item"
"1","Maximal",7557,7557,NA
"2","Questionable",107,7664,NA
".","Missing",627,8291,NA
