"LBXSAPSI.Code.or.Value","LBXSAPSI.Value.Description","LBXSAPSI.Count","LBXSAPSI.Cumulative","LBXSAPSI.Skip.to.Item"
"20 to 646","Range of Values",6433,6433,NA
".","Missing",547,6980,NA
