"DSQTCARB.Code.or.Value","DSQTCARB.Value.Description","DSQTCARB.Count","DSQTCARB.Cumulative","DSQTCARB.Skip.to.Item"
"0.005 to 119.73","Range of Values",1539,1539,NA
".","Missing",8636,10175,NA
