"LBD167LC.Code.or.Value","LBD167LC.Value.Description","LBD167LC.Count","LBD167LC.Cumulative","LBD167LC.Skip.to.Item"
"0","At or above the detection limit",221,221,NA
"1","Below lower detection limit",60,281,NA
".","Missing",3,284,NA
