"LBC157LA.Code.or.Value","LBC157LA.Value.Description","LBC157LA.Count","LBC157LA.Cumulative","LBC157LA.Skip.to.Item"
"0.1061 to 11.17","Range of Values",251,251,NA
".","Missing",0,251,NA
