"AUDTYR13.Code.or.Value","AUDTYR13.Value.Description","AUDTYR13.Count","AUDTYR13.Cumulative","AUDTYR13.Skip.to.Item"
"0 to 1.53","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
