"PAD615.Code.or.Value","PAD615.Value.Description","PAD615.Count","PAD615.Cumulative","PAD615.Skip.to.Item"
"10 to 960","Range of Values",1288,1288,NA
"7777","Refused",0,1288,NA
"9999","Don't know",2,1290,NA
".","Missing",8069,9359,NA
