"AUXU500R.Code.or.Value","AUXU500R.Value.Description","AUXU500R.Count","AUXU500R.Cumulative","AUXU500R.Skip.to.Item"
"-10 to 110","Range of Values",2732,2732,NA
"666","No response",0,2732,NA
"888","Could not obtain",13,2745,NA
".","Missing",289,3034,NA
