"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 52","Range of Values",423,423,NA
"77","Refused",0,423,NA
"99","Don't know",7,430,NA
".","Missing",3435,3865,NA
