"AUDTYL38.Code.or.Value","AUDTYL38.Value.Description","AUDTYL38.Count","AUDTYL38.Cumulative","AUDTYL38.Skip.to.Item"
"0 to 3.13","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
