"LBDPFUAL.Code.or.Value","LBDPFUAL.Value.Description","LBDPFUAL.Count","LBDPFUAL.Cumulative","LBDPFUAL.Skip.to.Item"
"0","At or above the detection limit",174,174,NA
"1","Below lower detection limit",1920,2094,NA
".","Missing",274,2368,NA
