"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"6 to 1234.14","Range of Values",3120,3120,NA
"4.26","Below Limit of Detection",16,3136,NA
".","Missing",220,3356,NA
