"URDAAZLC.Code.or.Value","URDAAZLC.Value.Description","URDAAZLC.Count","URDAAZLC.Cumulative","URDAAZLC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2588,2588,NA
".","Missing",106,2694,NA
