"URXEQU.Code.or.Value","URXEQU.Value.Description","URXEQU.Count","URXEQU.Cumulative","URXEQU.Skip.to.Item"
"2.12 to 3700","Range of Values",2182,2182,NA
".","Missing",466,2648,NA
