"DXXLAA.Code.or.Value","DXXLAA.Value.Description","DXXLAA.Count","DXXLAA.Cumulative","DXXLAA.Skip.to.Item"
"70.75 to 404.91","Range of Values",4977,4977,NA
".","Missing",803,5780,NA
