"DXDLAPF.Code.or.Value","DXDLAPF.Value.Description","DXDLAPF.Count","DXDLAPF.Cumulative","DXDLAPF.Skip.to.Item"
"11 to 66","Range of Values",4671,4671,NA
".","Missing",1021,5692,NA
