"URDBPMLC.Code.or.Value","URDBPMLC.Value.Description","URDBPMLC.Count","URDBPMLC.Cumulative","URDBPMLC.Skip.to.Item"
"0","At or above the detection limit",1855,1855,NA
"1","Below lower detection limit",447,2302,NA
".","Missing",160,2462,NA
