"AUXR1K2L.Code.or.Value","AUXR1K2L.Value.Description","AUXR1K2L.Count","AUXR1K2L.Cumulative","AUXR1K2L.Skip.to.Item"
"20 to 70","Range of Values",3,3,NA
"666","No response",1,4,NA
"888","Could not obtain",0,4,NA
".","Missing",2042,2046,NA
