"DR1TS100.Code.or.Value","DR1TS100.Value.Description","DR1TS100.Count","DR1TS100.Cumulative","DR1TS100.Skip.to.Item"
"0 to 11.221","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
