"DRD370N.Code.or.Value","DRD370N.Value.Description","DRD370N.Count","DRD370N.Cumulative","DRD370N.Skip.to.Item"
"1","Yes",51,51,""
"2","No",1976,2027,"DRD370O"
".","Missing",8450,10477,""
