"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",397,397,NA
"2","Usual",5759,6156,NA
"3","Much less than usual",876,7032,NA
"7","Refused",1,7033,NA
"9","Don't know",38,7071,NA
".","Missing",2473,9544,NA
