"URXMX5.Code.or.Value","URXMX5.Value.Description","URXMX5.Count","URXMX5.Cumulative","URXMX5.Skip.to.Item"
"0.004 to 286","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
