"FSQ400.Code.or.Value","FSQ400.Value.Description","FSQ400.Count","FSQ400.Cumulative","FSQ400.Skip.to.Item"
"1","Yes",180,180,""
"2","No",693,873,"FSQ420"
"7","Refused",1,874,"FSQ420"
"9","Don't know",4,878,"FSQ420"
".","Missing",10161,11039,""
