"OPDSVB.Code.or.Value","OPDSVB.Value.Description","OPDSVB.Count","OPDSVB.Cumulative","OPDSVB.Skip.to.Item"
"0","No",3198,3198,NA
"1","Questionable",2,3200,NA
"2","Yes",2,3202,NA
".","Missing",661,3863,NA
