"WBXF068.Code.or.Value","WBXF068.Value.Description","WBXF068.Count","WBXF068.Cumulative","WBXF068.Skip.to.Item"
"2593.6791 to 2593.6791","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
