"SSGIV1O1.Code.or.Value","SSGIV1O1.Value.Description","SSGIV1O1.Count","SSGIV1O1.Cumulative","SSGIV1O1.Skip.to.Item"
"0 to 3.5","Range of Values",867,867,NA
".","Missing",79,946,NA
