"AUXR3KR.Code.or.Value","AUXR3KR.Value.Description","AUXR3KR.Count","AUXR3KR.Cumulative","AUXR3KR.Skip.to.Item"
"15 to 105","Range of Values",21,21,NA
"666","No response",0,21,NA
"888","Could not obtain",0,21,NA
".","Missing",4561,4582,NA
