"OHD13LAS.Code.or.Value","OHD13LAS.Value.Description","OHD13LAS.Count","OHD13LAS.Cumulative","OHD13LAS.Skip.to.Item"
"0 to 9","Range of Values",2383,2383,NA
"99","Calculation cannot be determined",408,2791,NA
".","Missing",4339,7130,NA
