"CVAWS1.Code.or.Value","CVAWS1.Value.Description","CVAWS1.Count","CVAWS1.Cumulative","CVAWS1.Skip.to.Item"
"1.7 to 3.6","Range of Values",3209,3209,NA
".","Missing",1454,4663,NA
