"DBQ223A.Code.or.Value","DBQ223A.Value.Description","DBQ223A.Count","DBQ223A.Cumulative","DBQ223A.Skip.to.Item"
"10","Whole or regular,",2783,2783,NA
"77","Refused",1,2784,NA
"99","Don't know",12,2796,NA
".","Missing",7379,10175,NA
