"HSD570.Code.or.Value","HSD570.Value.Description","HSD570.Count","HSD570.Cumulative","HSD570.Skip.to.Item"
"1","Yes",274,274,""
"2","No",5595,5869,"HSQ590"
"7","Refused",0,5869,"HSQ590"
"9","Don't know",1,5870,"HSQ590"
".","Missing",4512,10382,""
