"RHQ602Q.Code.or.Value","RHQ602Q.Value.Description","RHQ602Q.Count","RHQ602Q.Cumulative","RHQ602Q.Skip.to.Item"
"1 to 11","Range of Values",4,4,NA
"77","Refused",0,4,NA
"99","Don't know",0,4,NA
".","Missing",3513,3517,NA
